# SGH Voice compact JMdict common-word candidates
# format-version=1
# source=JMdict_b
# source-created=2026-07-26
# source-url=https://www.edrdg.org/pub/Nihongo/JMdict_b.gz
# priority-tags=gai1,ichi1,news1,spec1
# format=reading<TAB>score<TAB>candidate
ありばい	5000	アリバイ
ありふれた	3000	有り触れた
ありよう	5077	有り様
ありよう	3000	有様
ありーな	2000	アリーナ
ある	9095	在る
ある	9095	有る
ある	3063	或
あるいは	3000	或いは
あるいみで	4000	ある意味で
あるいみでは	4000	ある意味では
あるかでぃあ	2000	アルカディア
あるかり	5000	亜爾加里
あるかりせい	4000	アルカリ性
あるきまわる	2084	歩き回る
あるく	3000	歩く
あるこーる	5000	アルコール
あるごりずむ	2000	アルゴリズム
あるじ	3000	主
あるつはいまー	2000	アルツハイマー
あるでひど	2000	アルデヒド
あると	2000	アルト
あるばいと	5000	アルバイト
あるばむ	5000	アルバム
あるぱいん	2000	アルパイン
あるふぁ	2000	Α
あるふぁべっと	5000	アルファベット
あるふぁべっとじゅん	4000	アルファベット順
あるぷす	2000	アルプス
あるみ	5000	アルミ
あるみにうむ	5000	アルミニウム
あれ	3000	彼
あれ	2086	我
あれ	2079	荒れ
あれこれ	3000	彼是
あれの	3075	荒野
あれほど	4000	あれ程
あれる	5079	荒れる
あれるぎー	5000	アレルギー
あれんじ	2000	アレンジ
あろは	2000	アロハ
あろまてらぴー	4000	アロマテラピー
あろー	2000	アロー
あわ	5087	泡
あわい	5095	間
あわす	3062	合わす
あわせる	5092	併せる
あわせる	5092	合わせる
あわただしい	3072	慌ただしい
あわてる	5083	慌てる
あわれ	3066	哀れ
あわれむ	3000	哀れむ
あわー	2000	アワー
あん	3000	案
あん	3000	餡
あん	2081	庵
あんい	5093	安易
あんうん	2080	暗雲
あんか	2085	安価
あんかー	2000	アンカー
あんがい	5085	案外
あんき	3068	暗記
あんぎゃ	2078	行脚
あんぐら	2000	アングラ
あんぐる	2000	アングル
あんけん	2089	案件
あんけーと	5000	アンケート
あんこ	7000	餡子
あんこく	2080	暗黒
あんこーる	2000	アンコール
あんごう	2085	暗号
あんさつ	5093	暗殺
あんさんぶる	2000	アンサンブル
あんしょう	2087	暗礁
あんしん	5095	安心
あんしんかん	2084	安心感
あんじ	3065	暗示
あんじゅう	4063	安住
あんず	2076	杏
あんせい	3072	安静
あんせん	5099	安全
あんぜん	5099	安全
あんぜんほしょう	2098	安全保障
あんそろじー	2000	アンソロジー
あんた	4000	貴方
あんたい	4068	安泰
あんだ	2096	安打
あんだー	2000	アンダー
あんだーらいん	3000	アンダーライン
あんち	2000	アンチ
あんちゃん	2076	兄ちゃん
あんてぃーく	2000	アンティーク
あんてい	5098	安定
あんてな	5000	アンテナ
あんど	2000	＆
あんどろいど	2000	アンドロイド
あんない	5093	案内
あんに	2087	暗に
あんのじょう	3074	案の定
あんばい	3000	塩梅
あんばらんす	2000	アンバランス
あんび	5081	安否
あんぴ	5081	安否
あんふぇあ	2000	アンフェア
あんぶ	5081	安否
あんぷ	5081	安否
あんぷ	2000	アンプ
あんぽ	2099	安保
あんまり	5085	余り
あんまりに	2087	余りに
あんみん	4058	安眠
あんもく	5081	暗黙
あんもにあ	2000	安母尼亜
あんらくし	2086	安楽死
あー	4000	嗚呼
あーいう	4000	ああ言う
あーきてくちゃ	2000	アーキテクチャ
あーく	2000	アーク
あーけーど	2000	アーケード
あーす	2000	アース
あーち	2000	アーチ
あーちぇりー	2000	アーチェリー
あーちすと	2000	アーチスト
あーてぃすと	2000	アーティスト
あーと	2000	アート
あーばん	2000	アーバン
あーむ	2000	アーム
あーもんど	2000	アーモンド
あーゆー	4000	ああ言う
い	5099	五
い	5093	胃
い	4000	亥
い	4000	伊
い	4000	位
い	4000	５０
い	2099	五十
い	2090	堰
い	2086	医
い	2085	寝
いあわせる	2078	居合わせる
いあん	2097	慰安
いいあらわす	3000	言い表す
いいあらわす	3000	言い表わす
いいかえす	3053	言い返す
いいかえる	3070	言い換える
いいかげん	3000	いい加減
いいかげんにしろ	4000	いい加減にしろ
いいかた	5091	言い方
いいきる	2079	言い切る
いいだす	3053	言い出す
いいなり	3075	言いなり
いいね	4000	良いね
いいぶん	2089	言い分
いいまわし	5083	言い回し
いいようがない	4000	言いようがない
いいわけ	5085	言い訳
いいわたし	2078	言い渡し
いいわたす	2090	言い渡す
いいん	5099	委員
いいん	2088	医院
いいんかい	5099	委員会
いいんちょう	2099	委員長
いう	5099	言う
いう	3000	結う
いうまでもない	2077	言うまでもない
いえ	3000	家
いえあるじ	5080	家主
いえい	2081	遺影
いえいえ	3000	否々
いえがら	3063	家柄
いえす	2000	イエス
いえづくり	4000	家づくり
いえで	5077	家出
いえぬし	5080	家主
いえもと	2081	家元
いえろー	2000	イエロー
いお	2081	庵
いおう	2089	硫黄
いおり	2081	庵
いおん	2000	イオン
いか	5096	以下
いか	3000	イカ
いか	2092	医科
いかが	4000	如何
いかがく	2076	医科学
いかく	5081	威嚇
いかす	5088	生かす
いかに	3000	如何に
いかにも	3000	如何にも
いからせる	2080	怒らせる
いかり	5096	怒り
いかり	3000	錨
いかん	5094	遺憾
いかん	2085	移管
いがい	5096	意外
いがい	3074	以外
いがく	5098	医学
いがくぶ	4000	医学部
いがむ	3000	歪む
いき	5095	息
いき	5088	行き
いき	5078	粋
いき	2089	遺棄
いき	2087	生き
いき	2083	意気
いきいき	5089	生き生き
いきうめ	2077	生き埋め
いきおい	5097	勢い
いきかえる	3058	生返る
いきかえる	3058	生き返る
いきかた	3000	生き方
いきがい	7000	生きがい
いきがい	7000	生き甲斐
いきがい	2091	域外
いきき	7067	行き来
いきぎれ	3065	息切れ
いきごみ	2090	意気込み
いきごむ	2083	意気込む
いきさかん	2076	意気盛ん
いきさき	2082	行き先
いきさつ	2096	経緯
いきじ	3058	意気地
いきすぎ	5086	行き過ぎ
いきすぎる	2082	行き過ぎる
