# SGH Voice compact Zhuyin candidates
# Source: Unicode Unihan 17.0.0 kHanyuPinlu + kTraditionalVariant
# Download: https://www.unicode.org/Public/UCD/latest/ucd/Unihan.zip
# License: Unicode-3.0 (see UNICODE_LICENSE.txt)
# Format: reading<TAB>candidate:corpus_count|...
ㄌㄨㄥˊ	龍:76|隆:46|籠:39|朧:32|嚨:26|瓏:10
ㄌㄨㄥ˙	窿:26
ㄌㄩˇ	旅:139|鋁:42|縷:18
ㄌㄩˊ	驢:56
ㄌㄩˋ	律:439|綠:220|率:173|慮:125
ㄌㄩㄝˋ	略:445|掠:62
ㄍㄜ	哥:491|歌:344|割:128|胳:65|擱:51|疙:17|鴿:11
ㄍㄜˊ	革:2148|格:288|隔:155|骼:22
ㄍㄜˋ	個:11693|各:1806
ㄍㄞ	該:1057
ㄍㄞˇ	改:1090
ㄍㄞˋ	概:287|蓋:227|溉:75|鈣:11
ㄍㄟˇ	給:2860
ㄍㄠ	高:3057|膏:21|糕:18|羔:10
ㄍㄠˇ	搞:434|稿:64
ㄍㄠˋ	告:995
ㄍㄡ	溝:136|勾:42|鈎:42|鉤:42
ㄍㄡˇ	狗:216
ㄍㄡˋ	夠:991|構:317|購:41
ㄍㄢ	桿:82|肝:56|甘:42|竿:30
ㄍㄢˇ	感:978|趕:681|敢:483|稈:12
ㄍㄢˋ	乾:1464
ㄍㄣ	跟:1534|根:1232
ㄍㄣˊ	哏:56
ㄍㄤ	剛:873|鋼:526|綱:83|缸:38|岡:37
ㄍㄤˇ	崗:59|港:51
ㄍㄥ	耕:55
ㄍㄥˇ	梗:18|哽:12
ㄍㄥˋ	更:1405
ㄍㄨ	姑:433|估:67|孤:54|辜:9
ㄍㄨˇ	古:440|鼓:286|股:187|骨:185|穀:145|鈷:14
ㄍㄨˋ	故:416|固:326|顧:323|僱:25|雇:25
ㄍㄨ˙	咕:14|菇:12
ㄍㄨㄚ	瓜:136|颳:105
ㄍㄨㄚˇ	寡:28
ㄍㄨㄚˋ	掛:270|褂:15
ㄍㄨㄛ	鍋:115
ㄍㄨㄛˇ	果:1655|裹:46
ㄍㄨㄛˊ	國:6416
ㄍㄨㄛˋ	過:5174
ㄍㄨㄞ	乖:19
ㄍㄨㄞˇ	拐:24
ㄍㄨㄞˋ	怪:410
ㄍㄨㄟ	規:752|歸:93|閨:37|硅:14|龜:11
ㄍㄨㄟˇ	鬼:224|軌:72|詭:15
ㄍㄨㄟˋ	貴:180|櫃:102|跪:55
ㄍㄨㄢ	關:1758|觀:1031|官:276|棺:9
ㄍㄨㄢˇ	管:981|館:241
ㄍㄨㄢˋ	慣:145|灌:141|貫:91|罐:40
ㄍㄨㄣˇ	滾:147
ㄍㄨㄣˋ	棍:74
ㄍㄨㄤ	光:1636
ㄍㄨㄤˇ	廣:628
ㄍㄨㄤˋ	逛:19
ㄍㄨㄥ	工:5185|公:1289|功:381|攻:313|供:305|宮:73|弓:36|躬:22
ㄍㄨㄥˇ	鞏:125|拱:78|汞:22
ㄍㄨㄥˋ	共:1298|貢:97
ㄍㄨㄥ˙	蚣:11
ㄎㄚ	咖:9
ㄎㄚˇ	卡:28
ㄎㄜ	科:1462|顆:207|棵:170|磕:23|瞌:11|蝌:10
